Код;Дата;Расход
00000947;26.06.2023 0:00:00;290
00000947;27.06.2023 0:00:00;530
00000947;28.06.2023 0:00:00;66
00000947;29.06.2023 0:00:00;587
00000947;30.06.2023 0:00:00;211
00000947;01.07.2023 0:00:00;110
00000947;02.07.2023 0:00:00;110
00000947;03.07.2023 0:00:00;300
00000947;04.07.2023 0:00:00;90
00000947;05.07.2023 0:00:00;330
00000947;06.07.2023 0:00:00;53
00000947;07.07.2023 0:00:00;0
00000947;08.07.2023 0:00:00;5
00000947;09.07.2023 0:00:00;160
00000947;10.07.2023 0:00:00;60
00000947;11.07.2023 0:00:00;240
00000947;12.07.2023 0:00:00;132
00000947;13.07.2023 0:00:00;270
00000947;14.07.2023 0:00:00;45
00000947;15.07.2023 0:00:00;150
00000947;16.07.2023 0:00:00;10
00000947;17.07.2023 0:00:00;73
00000947;18.07.2023 0:00:00;40
00000947;19.07.2023 0:00:00;524
00000947;20.07.2023 0:00:00;160
00000947;21.07.2023 0:00:00;100
00000947;22.07.2023 0:00:00;150
00000947;23.07.2023 0:00:00;95
00000947;24.07.2023 0:00:00;100
00000947;25.07.2023 0:00:00;50
00000947;26.07.2023 0:00:00;30
00000947;27.07.2023 0:00:00;98
00000947;28.07.2023 0:00:00;20
00000947;29.07.2023 0:00:00;310
00000947;30.07.2023 0:00:00;0
00000947;31.07.2023 0:00:00;230
00000947;01.08.2023 0:00:00;260
00000947;02.08.2023 0:00:00;700
00000947;03.08.2023 0:00:00;71
00000947;04.08.2023 0:00:00;10
00000947;05.08.2023 0:00:00;90
00000947;06.08.2023 0:00:00;110
00000947;07.08.2023 0:00:00;28
00000947;08.08.2023 0:00:00;120
00000947;09.08.2023 0:00:00;170
00000947;10.08.2023 0:00:00;20
00000947;11.08.2023 0:00:00;0
00000947;12.08.2023 0:00:00;70
00000947;13.08.2023 0:00:00;170
00000947;14.08.2023 0:00:00;72
00000947;15.08.2023 0:00:00;90
00000947;16.08.2023 0:00:00;25
00000947;17.08.2023 0:00:00;50
00000947;18.08.2023 0:00:00;50
00000947;19.08.2023 0:00:00;366
00000947;20.08.2023 0:00:00;0
00000947;21.08.2023 0:00:00;0
00000947;22.08.2023 0:00:00;0
00000947;23.08.2023 0:00:00;240
00000947;24.08.2023 0:00:00;208
00000947;25.08.2023 0:00:00;20
00000947;26.08.2023 0:00:00;0
00000947;27.08.2023 0:00:00;320
00000947;28.08.2023 0:00:00;203
00000947;29.08.2023 0:00:00;360
